Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Protein Name],Comment [Protein Name Abbreviation],Protein Sequence (aa),UniProt ID,Addgene ID,Experimental Condition [Subcellular Localization],Channels
WS_MCF10A_Landmark_20180613/Meas_01,N1,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N2,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N3,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N4,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N5,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N6,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N7,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N8,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N9,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N10,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N11,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,N12,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,"Signal sequence of calreticulin, ER retention sequence (KDEL)",Calr-KDEL,,P27797,134664,endoplasmic reticulum,"EGFP (protein of interest), DRAQ5 (DNA)"
WS_MCF10A_Landmark_20180613/Meas_01,K1,Homo sapiens,NCBITaxon,NCBITaxon_9606,MCF 10A,EFO,EFO_0001200,Cytochrome c oxidase subunit VIII,CCO,1-29',Q53XN1,134861,inner mitochondria membrane,"EGFP (protein of interest), DRAQ5 (DNA)"
